CNN,STREET,COLOR
24462000,POLK,RED
24894000,ELLIS,YELLOW
24894000,POWELL,RED
33338000,BRAZIL,YELLOW
33338000,MANSELL,RED
24952000,POST,YELLOW
24952000,TAYLOR,RED
25156000,HYDE,YELLOW
25156000,POST,RED
20651000,SAN BRUNO,RED
20651000,SILLIMAN,YELLOW
20651000,US 101 OFF RAMP,RED
25089000,PINE,YELLOW
25089000,TAYLOR,RED
11439105,NB I-280 SAN JOSE OFF RAMP,RED
11439105,MIDBLOCK AT,YELLOW
11439105,WEST OF SAN JOSE,RED
50158000,EMBARCADERO,YELLOW
50158000,GREEN,RED
23166000,23RD AVE,YELLOW
23166000,SLOAT,RED
21781000,ALEMANY,YELLOW
21781000,SILVER,RED
21487000,ALEMANY,YELLOW
21487000,NIAGARA,RED
24153000,20TH ST,YELLOW
24153000,VALENCIA,RED
24781000,GRANT,YELLOW
24781000,WASHINGTON,RED
32920000,18TH ST,YELLOW
32920000,MARKET,RED
27230000,ARGUELLO,YELLOW
27230000,GEARY,RED
26349000,CENTRAL,YELLOW
26349000,FELL,RED
24190000,10TH ST,RED
24190000,BRANNAN,RED
24190000,DIVISION,YELLOW
24190000,POTRERO,RED
26905000,GEARY,RED
26905000,MIDBLOCK AT,RED
26905000,MASONIC UNDERPASS,YELLOW
26905000,COLLINS,RED
27366000,19TH AVE,YELLOW
27366000,JUDAH,RED
26721000,LOMBARD,YELLOW
26721000,OCTAVIA,RED
23126000,LAKE MERCED,YELLOW
23126000,MIDDLEFIELD,RED
24613000,03RD ST,YELLOW
24613000,MISSION,RED
23407000,SANTIAGO,YELLOW
23407000,SUNSET,RED
25174000,BUSH,YELLOW
25174000,HYDE,RED
24555000,MISSION,YELLOW
24555000,SPEAR,RED
25853000,MCCOPPIN,YELLOW
25853000,VALENCIA,RED
183000,03RD ST,YELLOW
183000,TERRY FRANCOIS,RED
23603000,HARRISON,YELLOW
23603000,MAIN,RED
26588000,O'FARRELL,YELLOW
26588000,WEBSTER,RED
24926000,ELLIS,YELLOW
24926000,TAYLOR,RED
52197000,PHELAN,RED
52197000,MIDBLOCK AT,YELLOW
52197000,LEE EXTENSION,RED
23260000,23RD AVE,YELLOW
23260000,TARAVAL,RED
23919000,06TH ST,YELLOW
23919000,HARRISON,RED
23579000,03RD ST,YELLOW
23579000,MISSION ROCK,RED
24341000,15TH ST,YELLOW
24341000,SOUTH VAN NESS,RED
20816000,BAYSHORE,YELLOW
20816000,OAKDALE,RED
26692000,GREENWICH,YELLOW
26692000,VAN NESS,RED
25176000,EDDY,YELLOW
25176000,POLK,RED
24791000,COLUMBUS,RED
24791000,KEARNY,YELLOW
24791000,PACIFIC,RED
24183000,16TH ST,YELLOW
24183000,VALENCIA,RED
20489000,03RD ST,YELLOW
20489000,CARROLL,RED
24079000,21ST ST,YELLOW
24079000,FOLSOM,RED
23655000,MARIPOSA,YELLOW
23655000,PENNSYLVANIA,RED
23785000,07TH ST,RED
23785000,16TH ST,YELLOW
23785000,MISSISSIPPI,RED
25835000,14TH ST,YELLOW
25835000,GUERRERO,RED
701000,16TH ST,RED
701000,MIDBLOCK AT,RED
701000,07TH ST,YELLOW
701000,MISSOURI,RED
24909000,POWELL,YELLOW
24909000,SUTTER,RED
25192000,O'FARRELL,YELLOW
25192000,VAN NESS,RED
25473000,BAY,YELLOW
25473000,MASON,RED
26948000,CALIFORNIA,RED
26948000,MAPLE,YELLOW
26948000,PARKER,RED
25479000,BEACH,YELLOW
25479000,POWELL,RED
25186000,EDDY,YELLOW
25186000,VAN NESS,RED
27596000,06TH AVE,YELLOW
27596000,CALIFORNIA,RED
26342000,HAIGHT,YELLOW
26342000,MASONIC,RED
24199000,08TH ST,YELLOW
24199000,BRYANT,RED
27037000,CLARENDON,YELLOW
27037000,LAGUNA HONDA,RED
22105000,GENEVA,YELLOW
22105000,SAN JOSE,RED
24881000,BAY,YELLOW
24881000,EMBARCADERO,RED
20770000,SAN BRUNO,YELLOW
20770000,SILVER,RED
26362000,BAKER,YELLOW
26362000,TURK,RED
24627000,04TH ST,YELLOW
24627000,HOWARD,RED
25813000,18TH ST,YELLOW
25813000,CASTRO,RED
21751000,MISSION,YELLOW
21751000,ONONDAGA,RED
24686000,PINE,YELLOW
24686000,SANSOME,RED
25009000,CLAY,YELLOW
25009000,JOICE,RED
24377000,15TH ST,YELLOW
24377000,VALENCIA,RED
24695000,BATTERY,YELLOW
24695000,WASHINGTON,RED
25871000,14TH ST,YELLOW
25871000,DOLORES,RED
26416000,CLAYTON,YELLOW
26416000,OAK,RED
27288000,08TH AVE,YELLOW
27288000,GEARY,RED
26537000,FRANKLIN,YELLOW
26537000,SACRAMENTO,RED
34186000,07TH ST,RED
34186000,BERRY ST EXTENSION,YELLOW
34186000,MISSION BAY,RED
26727000,BAY,YELLOW
26727000,OCTAVIA,RED
25512000,HYDE,YELLOW
25512000,UNION,RED
27804001,41ST AVE,RED
27804001,CHAIN OF LAKES,YELLOW
27804001,LINCOLN,RED
30757000,GUERRERO,RED
30757000,HERMANN,RED
30757000,LAGUNA,YELLOW
30757000,MARKET,RED
24229000,11TH ST,YELLOW
24229000,HARRISON,RED
21441000,GENEVA,YELLOW
21441000,MADRID,RED
24347000,12TH ST,YELLOW
24347000,FOLSOM,RED
2829000,BAYSHORE,RED
2829000,MIDBLOCK AT,RED
2829000,CESAR CHAVEZ,YELLOW
2829000,MARIN,RED
25090000,JONES,YELLOW
25090000,PINE,RED
24088000,24TH ST,YELLOW
24088000,MISSION,RED
25900000,OAK,YELLOW
25900000,WEBSTER,RED
25594000,JEFFERSON,YELLOW
25594000,TAYLOR,RED
25595000,BEACH,YELLOW
25595000,JONES,RED
27804000,41ST AVE,RED
27804000,CHAIN OF LAKES,YELLOW
27804000,LINCOLN,RED
21496000,FOOTE,RED
21496000,GUTTENBERG,YELLOW
21496000,MISSION,RED
26067000,DIVISADERO,YELLOW
26067000,MCALLISTER,RED
12553211,DON CHEE,YELLOW
12553211,EMBARCADERO,RED
21362000,BROOKDALE,YELLOW
21362000,GENEVA,RED
23367000,SUNSET,YELLOW
23367000,WAWONA,RED
25533000,BAY,RED
25533000,COLUMBUS,YELLOW
25533000,JONES,RED
22556000,19TH AVE,YELLOW
22556000,JUNIPERO SERRA,RED
27343000,19TH AVE,YELLOW
27343000,LAWTON,RED
24701000,SACRAMENTO,YELLOW
24701000,SANSOME,RED
25930000,BUCHANAN,YELLOW
25930000,FELL,RED
20308000,BAYSHORE,YELLOW
20308000,VISITACION,RED
23079000,19TH AVE,YELLOW
23079000,OCEAN,RED
23535000,03RD ST,YELLOW
23535000,CESAR CHAVEZ,RED
25276000,HYDE,YELLOW
25276000,JACKSON,RED
25427000,MASON,YELLOW
25427000,UNION,RED
27191000,ARGUELLO,YELLOW
27191000,FULTON,RED
24602000,MISSION,YELLOW
24602000,SHAW,RED
1278700,MADRONE,YELLOW
1278700,ULLOA - EB,RED
24004000,18TH ST,YELLOW
24004000,POTRERO,RED
24141000,16TH ST,YELLOW
24141000,SHOTWELL,RED
24293000,06TH ST,YELLOW
24293000,MISSION,RED
26514000,GEARY,YELLOW
26514000,LAGUNA,RED
24639000,03RD ST,YELLOW
24639000,STEVENSON,RED
8776103,MARKET,RED
8776103,MIDBLOCK AT,RED
8776103,ARGENT,YELLOW
8776103,ROMAIN,RED
25676000,19TH ST,YELLOW
25676000,GUERRERO,RED
909201,19TH AVE,RED
909201,MIDBLOCK AT,RED
909201,IRVING,YELLOW
909201,LINCOLN,RED
25073000,CALIFORNIA,YELLOW
25073000,MASON,RED
26433000,STANYAN,YELLOW
26433000,WALLER,RED
22629000,MIRAMAR,YELLOW
22629000,OCEAN,RED
26460000,TAMALPAIS,YELLOW
26460000,TURK,RED
27830000,36TH AVE,YELLOW
27830000,FULTON,RED
24900000,ELLIS,YELLOW
24900000,MASON,RED
24206000,10TH ST,YELLOW
24206000,HARRISON,RED
26549000,FRANKLIN,YELLOW
26549000,PACIFIC,RED
26498000,BUSH,YELLOW
26498000,FRANKLIN,RED
6436202,GREAT HWY,YELLOW
6436202,TARAVAL,RED
26434000,HAIGHT,YELLOW
26434000,STANYAN,RED
26822000,BRODERICK,YELLOW
26822000,CALIFORNIA,RED
27620000,CALIFORNIA,YELLOW
27620000,PARK PRESIDIO,RED
24142000,16TH ST,YELLOW
24142000,SOUTH VAN NESS,RED
24519000,02ND ST,YELLOW
24519000,FOLSOM,RED
21705000,ALEMANY,YELLOW
21705000,ROUSSEAU,RED
25941000,GOUGH,YELLOW
25941000,MCALLISTER,RED
23574000,ILLINOIS,RED
23574000,MARIPOSA,YELLOW
23574000,TERRY A FRANCOIS,RED
33493000,ALEMANY,YELLOW
33493000,FARRAGUT,RED
24976000,BUSH,YELLOW
24976000,POWELL,RED
30765000,BATTERY,YELLOW
30765000,BROADWAY,RED
26770000,LOMBARD,YELLOW
26770000,STEINER,RED
20872000,JOHN F SHELLEY WEST,YELLOW
20872000,MANSELL,RED
23881000,09TH ST,YELLOW
23881000,BRANNAN,RED
22524000,ARCH,YELLOW
22524000,BROTHERHOOD,RED
22102000,OCEAN,YELLOW
22102000,SAN JOSE,RED
23599000,BEALE,YELLOW
23599000,BRYANT,RED
21326000,CORTLAND,YELLOW
21326000,MISSION,RED
21890000,30TH ST,YELLOW
21890000,SAN JOSE,RED
24729000,CALIFORNIA,YELLOW
24729000,MONTGOMERY,RED
8673201,MANSELL WB,RED
8673201,MIDBLOCK AT,RED
8673201,JOHN F SHELLEY DR EAST,YELLOW
8673201,JOHN F SHELLEY DR WEST,RED
24209000,09TH ST,YELLOW
24209000,HARRISON,RED
24342000,14TH ST,YELLOW
24342000,SOUTH VAN NESS,RED
25152000,LARKIN,YELLOW
25152000,O'FARRELL,RED
24917000,GEARY,YELLOW
24917000,MASON,RED
26568000,BROADWAY,YELLOW
26568000,GOUGH,RED
22088000,CAYUGA,YELLOW
22088000,GENEVA,RED
24546000,EMBARCADERO,YELLOW
24546000,HOWARD,RED
20578000,DWIGHT,RED
20578000,PAUL,YELLOW
